Date,Primary Fur Color,COUNTA of Running,COUNTA of Chasing,COUNTA of Climbing,COUNTA of Eating,COUNTA of Foraging
10062018,Black,19,19,19,19,19
,Cinnamon,36,36,36,36,36
,Gray,278,278,278,278,278
10082018,Black,7,7,7,7,7
,Cinnamon,42,42,42,42,42
,Gray,232,232,232,232,232
10102018,Black,4,4,4,4,4
,Cinnamon,57,57,57,57,57
,Gray,267,267,267,267,267
10122018,Black,8,8,8,8,8
,Cinnamon,37,37,37,37,37
,Gray,172,172,172,172,172
10142018,Black,14,14,14,14,14
,Cinnamon,25,25,25,25,25
,Gray,324,324,324,324,324
10182018,Black,5,5,5,5,5
,Cinnamon,31,31,31,31,31
,Gray,163,163,163,163,163
10202018,Black,1,1,1,1,1
,Cinnamon,7,7,7,7,7
,Gray,57,57,57,57,57
