X,Y,height,Color,Details
-73.9670628558161,40.7734991420941,0,Cinnamon,on tree roots
-73.9738033257473,40.7711846894166,0,Gray,under a tree
-73.9756976076707,40.7753897331918,0,Gray,in b/w trees
-73.9673253417305,40.7749505252981,5,Gray,tree
-73.9680635070949,40.779249873647,10,Black,Branch
-73.9724642436394,40.7690526441109,0,Gray,bush
-73.9768674812942,40.7735232648872,0,Gray,hiding in bushes
-73.968381325559,40.7780143443779,0,Cinnamon,On a rock
-73.9688454483585,40.7845301288163,3,Gray,trash can
-73.9683608295976,40.7842927405327,0,Cinnamon,Under bench
-73.9787180870736,40.7715877863274,0,Gray,near 65th St arch
-73.9708549670788,40.7699587019058,12,Gray,on tree knob
-73.9730277911422,40.7712145488828,2,Gray,tree
-73.9710541405708,40.7724691605718,10,Black,"Behind fence, tree"
-73.9761592532482,40.7747213585387,10,Gray,tree near large rock on Bridle Path
-73.9575986161364,40.799368134968,25,Gray,Climbing tree
-73.9607701370443,40.7955418990855,0,Gray,"""FIELD"""
-73.9589249555235,40.7908193284981,2,Gray,bottom of tree
-73.9763243383771,40.7705409315703,20,Gray,way up a tree!
-73.9651754464439,40.7755181941559,7,Gray,tree
-73.9607746337979,40.7939581069382,0,Gray,lawn
-73.9588660250232,40.7982597947515,0,Gray,bottom of great hill
-73.9792155473689,40.7693711799946,5,Gray,in tree
-73.9664711607022,40.787896428768,0,Gray,Tree 90th left 90th & 89
-73.9694168118643,40.7728877377977,5,Gray,In the Woods/Brush
-73.9782417115139,40.7724665036447,10,Gray,in tree
-73.9564023626619,40.7905423546155,13,Gray,shelter in hole in tree
-73.9763430829342,40.7686351097159,3,Cinnamon,on tree facing downward
-73.9756015005821,40.7670090327736,0,Gray,walking along path
-73.9735489537928,40.7681257911523,12,Gray,tree
-73.965796978969,40.7760402842845,0,Gray,lawn moving east over Park path
-73.9710760196868,40.7725506006789,0,Gray,"Behind fence, grass"
-73.9711298491132,40.7676902603543,15,Black,in tree by arsenal - climbing
-73.9754270368984,40.7702411502308,0,Gray,Baseball field
-73.9770273553525,40.7732399463626,3,,fence
-73.9737091707831,40.7713732567512,0,Gray,under a tree
-73.9520592496349,40.7975076299811,4,Cinnamon,on fence
-73.963842266151,40.7887340867773,0,Gray,Near rock
-73.967895656898,40.7767409597341,3,Gray,on fence
-73.9590236602085,40.7982632456866,0,Gray,bottom great hill
-73.9589414339242,40.7907073888277,0,Gray,treed area
-73.9762246600197,40.775164077652,0,Cinnamon,Bridle Path lawn
-73.9800669115792,40.7676825134384,2,Cinnamon,on tree trunk
-73.9773317054464,40.7684035996758,0,Cinnamon,on top [of] a big rock/boulder in the area
-73.9534333425633,40.7932564163328,10,Gray,in a tree with red berries
-73.978436117932,40.7724769242403,15,Gray,tree
-73.9552861155228,40.788973931872,3,Cinnamon,In and below shrub
-73.9712876234172,40.7695885530701,25,Gray,tree
-73.9550082056509,40.7894521543449,2,Gray,98th @ edge of park
-73.9674069524601,40.7772529662424,0,Gray,Woods
-73.9586214081667,40.7937473968735,2,Gray,bench
-73.9528149779809,40.7924984810637,10,Gray,Running down tree
-73.9646610347972,40.7790583544252,0,Gray,near a brush
-73.95448101115,40.7954469678857,15,Gray,lower branch of tree
-73.9705123624953,40.7731723757869,0,Gray,Grassy area
-73.9782351435852,40.7715896672335,30,Gray,tree
-73.9583101927652,40.7852649316039,10,Gray,In tree
-73.9759432151552,40.7733240612552,2,Gray,on a bench
-73.9781303869038,40.7725000348875,8,Gray,in tree
-73.9757001944781,40.769499790547,2,Cinnamon,went up tree
-73.9735946835545,40.7724155751282,0,Gray,by tree trunk base
-73.9719888241794,40.7667681685356,3,Gray,ran to tree
-73.9669206605745,40.7748155701122,0,Gray,in glen
-73.9590502257662,40.794290363687,0,Gray,Running across wide street
-73.9702788578386,40.7694484997295,0,Gray,Rock
-73.9741944367138,40.7769889953596,2,Gray,on railing
-73.96362827608,40.7807994595242,3,Gray,fence
-73.9757436019432,40.7746064363227,0,Gray,on lawn in front of a tree
-73.9558474701153,40.7913335515534,40,Gray,tree
-73.9734695768004,40.7716297491384,0,Gray,"5, 6, 7 all at same tree trunk base"
-73.9793952066038,40.7707837657859,0,Gray,by rock
-73.9642717435966,40.782087049693,10,Gray,tree
-73.959514034869,40.789911786416,0,Gray,under bushes
-73.9624546917649,40.7888234959792,0,Gray,Rock a
-73.9549135206961,40.798525897229,25,Gray,in tree
-73.9661785940531,40.7742569936186,5,Gray,climbed tree
-73.9690968160819,40.769923269444,6,Gray,tree
-73.9666521094255,40.7842753517648,0,Gray,"in bushes, then ran across path"
-73.9548430741605,40.798207350942,30,Gray,tree
-73.9602166876979,40.7953811003986,20,Black,Moved 20+ feet high above top of tree limb
-73.9533476020736,40.7933003544685,0,Gray,tree
-73.9677387336667,40.7742695912,10,Gray,in tree
-73.9687847410656,40.778185700305,25,Gray,In tree
-73.9749446629706,40.7720659696067,0,Gray,outside fenced hectare
-73.9773821135611,40.7690453494383,0,Gray,behind playground benches
-73.9713487591577,40.7784353043714,17,Black,running across overpass
-73.9559677963727,40.7951124076946,1,Gray,branches
-73.9615402629655,40.7924082330328,20,Gray,tree branches
-73.9709040623777,40.7701163892686,8,Gray,tree
-73.9745227769788,40.7673618284782,0,Gray,in grass by light post
-73.9677779408464,40.7867482211349,15,Gray,BIG TREE
-73.9742804552383,40.7707167671865,0,Gray,On rocks
-73.9769319450348,40.7743883576247,0,Gray,foot of tree
-73.9685751595485,40.7709413567859,1,Gray,ran up tree
-73.9671549566066,40.7751342870705,180,Gray,top of tree
-73.9653279069888,40.7758743113817,4,Gray,on fence
-73.9558809064648,40.7952765022241,0,Gray,THICK UNDERGROWTH
-73.9662939630722,40.7878502338031,0,Gray,running across bridle path
-73.9613051957306,40.7909351393505,0,Gray,Undergrowth
-73.9580109357087,40.7855654405447,0,Gray,Jumped onto path & then back into brush
-73.9675047480308,40.7789234397249,0,Gray,Pond area
-73.9785536529136,40.7716184505002,0,Cinnamon,elevated ground
-73.9719036217446,40.7803588122409,3,Gray,ground & tree
-73.9703401385684,40.7795238784266,0,Gray,then perched on 2-ft high border fencing
-73.9704575848926,40.7693499326095,0,Black,by tree
-73.9767949141123,40.774454583585,0,,by large tree in sectioned off area
-73.9685080639873,40.7745309794155,20,Cinnamon,maple tree
-73.970465600402,40.7701125773248,0,Gray,"Ran across path to eat behind fence, next to the fence."
-73.9691261755936,40.7702929428604,50,Gray,tree
-73.9529230207908,40.7960663442573,0,Gray,along the road
-73.9574749571848,40.7981898890735,0,Gray,By the main road
-73.9661694463488,40.7757530583569,0,Gray,along bottom of rock outcropping
-73.9711176999471,40.7724278547281,10,Gray,Different tree
-73.9686304581526,40.7773631337117,4,Gray,on fallen tree
-73.9783185278595,40.7724861675504,20,Gray,"in trees, then to ground"
-73.96797780019,40.7847629473258,5,Gray,chain link fence
-73.9648626810032,40.7804506112843,5,Gray,Ran up tree
-73.9595757792683,40.7899242643847,0,Gray,under bushes
-73.9677054870327,40.778992870166,9,Gray,Tree trunk
-73.9675472064204,40.7835947167436,10,Cinnamon,on tree
-73.9677654289757,40.786785529449,15,Gray,BIG TREE
-73.9675023138703,40.7872554700995,40,Cinnamon,tree
-73.9706851546184,40.7780777016038,2,Cinnamon,on fence
-73.9607608482656,40.7954687648248,0,Gray,EDGE OF WOODS
-73.9557263533489,40.7939505791448,0,Gray,LAWN
-73.9545101041865,40.7903823616782,0,Gray,in the playground.
-73.9595645962539,40.7899599350145,0,Gray,under bushes
-73.9741846413977,40.7762518164182,0,Gray,Climbing up rocks
-73.975086415444,40.7671990131313,0,Gray,just to right when enter sanctuary
-73.9591667162801,40.7937602121568,12,Gray,tree
-73.953287300494,40.793520326789,43,,tree
-73.9626120417397,40.7905126358626,0,Gray,on a rock
-73.9591957793992,40.7949568873453,0,Gray,Clearing near bike path (bikes active)
-73.9735120882106,40.7715915415169,0,Gray,"5, 6, 7 all at same tree trunk base"
-73.9667755678511,40.7760256836088,10,Gray,oak tree
-73.9613351649026,40.7909866851357,0,Gray,Undergrowth
-73.9792754037291,40.767969070039896,3,Gray,stay on side of trunk
-73.9594120573719,40.7841945750598,10,Gray,tree
-73.9680833729772,40.7741871025115,7,,in tree
-73.9708002461415,40.7726685284831,0,Gray,Arbor path & hill w/ bushes
-73.9622030085794,40.7917723228749,10,Gray,ran up a tree
-73.9533923917973,40.7961701874769,25,Gray,large tree
-73.9738817388158,40.7712709366093,0,Gray,under a tree
-73.9532838338416,40.7931112674583,0,Gray,Right behind fence of the conservatory
-73.971791854883,40.7802971729784,2,Gray,climbed a fence
-73.960657061561,40.7956150744102,0,Gray,"""FIELD"""
-73.9612349421547,40.7959586475744,0,Gray,THICK UNDERGROWTH
-73.9676424599715,40.7777766106807,0,Cinnamon,near fence
-73.9772422664657,40.773436329163,0,Gray,playground
-73.980948293606,40.7685688850628,15,Gray,in tree!
-73.9645547556826,40.776877007081,9,Cinnamon,tree hollow
-73.9558268731771,40.7952074193788,0,Gray,THICK UNDERGROWTH
-73.9719111470164,40.7758789855474,7,Gray,Was on top of the edge of Bow Bridge
-73.9755569170561,40.7668006977526,25,Gray,in tree
-73.9720347089273,40.7727750272024,0,Gray,Gathering/digging in grassy area b/w trees
