X,Y,height,Color,Details
-73.9761107065353,40.769642060286,30,,
-73.9770273553525,40.7732399463626,3,,fence
-73.9767949141123,40.774454583585,0,,by large tree in sectioned off area
-73.9592819491968,40.7941062008626,30,,
-73.9767980925124,40.774362775678,0,,
-73.9790010565108,40.7685732369544,0,,
-73.953287300494,40.793520326789,43,,tree
-73.9680833729772,40.7741871025115,7,,in tree
-73.9677409841969,40.7763579140639,5,,
-73.9719729323923,40.7668318394546,28,,Tree
-73.961934398055,40.7924789548522,0,,
-73.9685709455958,40.7744877026506,45,,
-73.9746204802221,40.7699294840733,0,,along dirt path by cross-town car road. saw movement in a shrub/then caught sight a little fluffy tail
-73.9563847867316,40.7906012261163,13,,
-73.9545773579075,40.7898684635744,100,,
-73.9597462612063,40.7832801145306,20,,up in tree
-73.9770508584979,40.7710769301257,15,,
-73.9770119133023,40.7732949090005,4,,fence
-73.9766342125035,40.7715437147052,35,,
-73.9677593344667,40.7763054313195,5,,
-73.9533085932603,40.7934877861075,43,,tree
-73.9546367558712,40.789840987798,100,,
-73.9687347731861,40.7718955594385,20,,
-73.9699135187297,40.7782354186163,2,,
-73.9567801028221,40.7960096659564,30,,
-73.9578981223015,40.7989967754358,60,,
-73.9604476047877,40.7938014328732,40,,
-73.9616944195776,40.7927250423024,0,,
-73.96143417385,40.7945464262112,0,,
-73.9561498646036,40.7949288561893,10,,"unsure, just heard kuks"
-73.9752915601718,40.773932957003296,10,,
-73.9687025912431,40.7719319822619,20,,
-73.9673554935258,40.7827527249594,60,,
-73.955208233231,40.7890574331084,30,,
